Fodder, one day;Abrak, egynapi
Food;Étel
Forest moth;Erdőpille
Forestry;Erdőjárás
Forging;Kovácsolás
Four wheeled combat chariot;Négykerekű harci szekér
Free from bondage;Kötelékből szabadulás
Fur;Prém
Galeas;Galeassz
Galeon;Galeon
Galleon paddles;Gálya evező
Galley;Gálya
Garotte;Garott
General;Általános
General error;Általános hiba
Generate;Generálás
Gentle goblin;Udvari goblin
Gentle orc;Udvari ork
Get images;Képek beszerzése
Get sounds;Hangok beszerzése
Girls of Lotus;Lótusz Leányai
Gladiator;Gladiátor
Gloves, fencing;Kesztyű, vívó
Gloves, noble;Kesztyű, nemesi
Gnome;Gnóm
Goats;Kecske
Goblin;Goblin
Gold;Arany
Goldsmith;Ötvös
Goose;Liba
Growing plants;Növénytermesztés
Guard officer;Őrtiszt
Guard;Őr
Halberd;Alabárd
Half-elf;Félelf
Half-giant;Félóriás
Half-giant (Forest giant);Félóriás (Erdei óriás)
Half-giant (Ice giant);Félóriás (Jégóriás)
Half-giant (Mountain giant);Félóriás (Hegyi óriás)
Half-giant (Swamp giant);Félóriás (Mocsári óriás)
Half-orc;Félork
Halter;Kötőfék
Hammer;Kalapács
Hand crossbow;Kézi nyílpuska
Hardened leather armor;Keményített bőr
Harpoon;Szigony
Hatchet;Szekerce
Hat;Kalap
Haversack;Tarisznya
Hawk, hunter;Sólyom, vadász
Headhunter;Fejvadász
Headhunter sword;Fejvadász kard
Healer;Gyógyító
Health;Egészség
Heavy armored riding lance;Kopja, nehézlovas
Heavy armor wearing;Nehézvértviselet
Heavy crossbow;Nehéz nyílpuska
Help;Súgó
Hen;Tyúk
Heraldry;Címertan
Herbalism;Herbalizmus
History knowledge;Történelemismeret
Hone stone;Fenőkő
Honey, bark;Méz, csupor
Hood;Csuklya
Horse clothes;Lópokróc
Horse, heavy combat;Ló, nehéz harci
Horse, light combat;Ló, könnyű harci
Horse, pony;Ló, póni
Horse shoe and shoeing;Patkó és patkolás
Horse, traveler;Ló, utazó
Horse, yoke;Ló, igás
Hose;Tömlő
Human;Ember
Hungarian;Magyar
Images;Képek
Infravision;Infralátás
Initiating value;Kezdeményező érték
Ink;Tinta
Intelligence;Intelligencia
IronFist;Vasököl
IV;KÉ
Jad Janbiya;Dzsad dzsambia
Jann;Dzsenn
Jann saber;Dzsenn szabja
Javelin;Dárda/hajító dárda
Jellem;Personality
Jeweler;Ékszerész
Juggling;Zsonglőrködés
Jumping;Ugrás
Kahreian crossbow;Kahreian nyílpuska
Khal;Khál
Kiel priest;Kiel pap
Knife;Kés
Knight;Lovag
Knight sword;Lovagi kard
Knotting;Csomózás
Kogge;Kogge
Krad paladin;Krad paplovag
Kranich;Kráni
Kranich warlock;Kráni boszorkánymester
Kyr knowledge;Kyr tudás
Kyr;Kyr
Ladders;Létra
Lampion;Mécses
Lance;Kopja, könnyű
Landau;Hintó
Language knowledge;Nyelvismeret
Languages;Nyelvek
Lantern;Lámpás
Large shield;Nagy pajzs
Lasso;Lasszó
Leadership;Hadvezetés
Leather armor;Kivert bőr
Legend knowledge;Legendaismeret
Level / %;Fok / %
Level;Szint
Life points and pain tolerance;Életerő és fájdalomtűrés
Life points;Életerő pontok
Light chain mail;Láncing
LinguaDomini;LinguaDomini
Liqueurs;Likőr
Little shield;Kicsi pajzs
Lock picking;Zárnyitás
Long bow;Hosszú íj
Long staff;Hosszú bot
Longsword;Hosszú kard
Loop;Ismétlés
Loree;Lőre
LP;ÉP
Lunch, dinner;Ebéd, vacsora
Magasság;Height
Magic knowledge;Mágiaismeret
Magic;Mágia
Magic resistance;Mágiaellenállás
Magic usage;Mágiahasználat
Mana points;Mana pontok
Maps;Térképek
Map;Térkép
Mara-sequor;Mara-sequor
Market;Piac
Master level;Mesterfok
Meat, one dose;Hús, egy adag
Medium shield;Közepes pajzs
Menu;Menü
Merchant;Kereskedő
Milk, jug;Tej, kancsó
Mirror, metal;Tükör, fém
Mithrill;Mithrill
Mitrill breast plate;Mitrill mellvért
Mitrill chain mail;Mitrill sodronying
Mitrill full plate;Mitrill teljes vértezet
Mitrill half plate;Mitrill félvértezet
Mitrill laminar armour;Mitrill lemezvértezet
Mitrill scale armour;Mitrill pikkelyvért
Ml;Mf
Modifiers;Módosítók
MR;ME
Mule;Öszvér
Music;Zene
Nail, dozens;Szeg, tucat
Name;Név
Nastar monk;Nastar szerzetes
Nastar paladin;Nastar paplovag
Nastar priest;Nastar pap
News distributor;Hírterjesztő
New;Új
Night-elf;Éji elf
Noble;Nemes
Noble shirt;Nemesi ing
Nomad bow;Visszacsapó íj
No;Nem
Normal;Normál
Not choosen;Nincs kiválasztva
Now playing;Lejátszás alatt
Oilcloth;Viaszosvászon, rőf
Oil for lamps;Olaj, lámpásba
Old wine from Predoc 1 cluster;Predoci óbor 1 fürtös
Old wine from Predoc 2 clusters;Predoci óbor 2 fürtös
Old wine from Predoc 3 clusters;Predoci óbor 3 fürtös
Old wine from Predoc 4 clusters;Predoci óbor 4 fürtös
Old wine from Predoc 5 clusters;Predoci óbor 5 fürtös
One-handed hatchet;Egykezes csatabárd
One-handed mace;Egykezes buzogány
Orc;Ork
Ordinary prostitute;Közönséges örömlány
Other;Egyéb
Ox;Ökör
Pack saddle;Nyereg, málhás
Pain tolerance points;Fájdalomtűrési pontok
Pain tolerance points/level;Fájdalomtűrési pontok/szint
Pantaloons;Pantalló
Pants;Gatya
Paper, sheet;Papír, ív
Parchment sheets;Pergamen, ív
Peasant;Paraszt
Peasant shirts;Paraszti ing
Percent qualifications;Százalékos képzettségek
Percent qualification;Százalékos képzettség
Physiology;Élettan
Pick pocketing;Zsebmetszés
Pig;Disznó
Poisoning & neutralization;Méregkeverés/semlegesítés
Post chaise for a day;Postakocsi, naponta
Pottery;Fazekasság
Price;Ár
Priest magic;Papi mágia
Profession;Szakma
Psi Kranich;Pszi Kráni metódus
Psi Kyr method;Pszi Kyr metódus
Psi, Mana, Magic resistance;Pszi, Mana, mágiaellenállás
Psi points/level;Pszi pont/szint
Psi points;Pszi pontok
Psi;Pszi
Psi Pyarron;Pszi Pyarroni
Psi Slan-way;Pszi Slan-út
PTP;FP
PTP/level;FP/szint
Pub fighting;Kocsmai verekedés
QP;KP
Qualification;Képzettség
Qualification points;Képzettség pontok
Qualifications;Képzettségek
Quill;Írótoll
Quiver;Tegez
Race;Faj
Race qualifications;Faji képzettségek
Races;Fajok
Rag;Posztó
Ramiera;Ramiera
Ranagol paladin;Ranagol paplovag
Ranagol priest (Gorvik);Ranagol pap (gorviki)
Ranagol priest (Kran);Ranagol pap (kráni)
Rapier;Tőrkard/rapír
Rare spice;Ritka fűszer
Reading & writing;Írás/olvasás
Registry write error;Regisztrációs bejegyzés írási hiba
Reins, bridle, snaffle;Gyeplő, kantár, zabla
Religion knowledge;Vallásismeret
Remove music;Zene eltávoltása
Remove sound(s);Hang(ok) eltávoltása
Reptile;Hüllő
Riding lance;Kopja, lovas
Riding;Lovaglás
Ring armour;Gyűrűs vért
Room, ornate;Szoba, díszes
Room, shared bedroom;Szoba, közös háló
Room, suite;Szoba, lakosztály
Room with separate bed;Szoba, külön ágy
Rope (20 meters);Kötél (20 méter)
Rope beating;Kötélverés
Rune magic;Rúnamágia
Running;Futás
Saber;Szabja
Sack;Zsák
Saddle bag;Nyeregtáska
Sailing;Hajózás
Sail;Vitorla
Salt, blocks;Só, tömb
Sandals;Szandál
Saru;Saru
Scales;Mérleg
Scimitar;Handzsár
Scourge;Korbács
Sealing wax;Pecsétviasz
Secondary caste;Második kaszt
Secret door searching;Titkosajtó keresés
Sedan chair;Hordszék
Sequor;Sequor
Settings;Beállítások
Sewing needle;Varrótű
Sexual culture;Szexuális kultúra
Shadlekian mace;Shadleki buzogány
Shadonish armor breaking crossbow;Shadoni páncéltörő nyílpuska
Sheep;Juh
Shield using;Pajzshasználat
Shoes;Cipő
Short bow;Rövid íj
Shorts;Nadrág
Short staff;Rövid bot
Short sword;Rövid kard
Shovel;Ásó
Silk, ell;Selyem rőf
Silver;Ezüst
Singing & making music;Ének-zene
Single room;Szoba, egyszemélyes
Skills;Képességek
Slan dagger;Slan tőr
Slan star;Slan csillag
Slan sword;Slan kard
Sleigh;Lovasszán
Sling;Sling
Slippers;Papucs
Smith;Kovács
Snake sword;Kígyó kard
Sneaking;Lopózás
Soldier;Katona
Sound effect;Hang effektus
Sound effects;Hangeffektusok
Sound imitation;Hangutánzás
Sounds;Hangok
Spear;Lándzsa
Special spice;Különleges fűszer
Speed;Gyorsaság
Spiked mace;Tüskés buzogány
Stables;Istálló
Stagecoach;Társzekér
Stamina;Állóképesség
Stealth;Rejtőzködés
Steel breast plate;Acél mellvért
Steel chain mail;Acél sodronying
Steel full plate;Acél teljes vértezet
Steel half plate;Acél félvértezet
Steel laminar armour;Acél lemezvértezet
Steel scale armour;Acél pikkelyvért
St;Kf
Stockings;Harisnya
Storyteller;Mesemondó
Story;Történet
Strength;Erő
Stretch;Nyújtás
Sugar, glass;Cukor, süveg
Swimming;Úszás
Swordhole, ordinary;Kardhüvely, közönséges
Swordhole, ornate;Kardhüvely, díszes
Sword master;Kardművész
Szülőföld;Homeland
Tailoring;Szabászat
Tattoo maker;Tetováló
Teaching;Tanítás
Tent, crew;Sátor, legénységi
Tent, great;Sátor, nagy
Tent, small;Sátor, kicsi
Testsúly;Weight
Tharr priest;Tharr pap
There is no 'story.rtf' or 'story.txt' file in the folder: ;Nincs 'story.rtf' vagy 'story.txt' fájl ebben a könyvtárban: 
Thief;Tolvaj
Throwing ax;Hajítóbárd
Throwing dagger;Dobótőr
Throwing nets;Dobóháló
Tightrope;Kötéltánc
Toga;Tóga
Torch;Fáklya
Track reading & hiding;Nyomolvasás/eltüntetés
Trap detect;Csapdakeresés
Trappings;Lószerszámok
Trap setup;Csapdaállítás
Traveling cart with two wheels;Utazó szekér, kétkerekű
Travelling saddle;Nyereg utazó
Travelling;Utazás
Tunic;Tunika
Turkey;Pulyka
Two-handed combat;Kétkezes harc
Two-handed hatchet;Kétkezes csatbárd
Two-handed mace;Kétkezes buzogány
Two wheeled combat chariot;Kétkerekű harci szekér
Ultravision;Ultralátás
Unconscious astral magic resistance;Tudatalatti asztrális mágia-ellenállás
Unconscious mental magic resistance;Tudatalatti mentális mágia-ellenállás
Uwel paladin;Uwel paplovag
Vallás;Religion
Value estimation;Értékbecslés
Vegetables;Zöldség
Velar monk;Velar szerzetes
Velar paladin;Velar paplovag
Velar priest;Velar pap
Vest;Mellény
Video clips;Videóklippek
Vitality;Életerő
Voul;Voul
Waist belt;Derékszíj
Warhammer;Harci kalapács
Warlock;Boszorkánymester
Warlock magic;Boszorkánymesteri mágia
Warrior;Harcos
Weapon breaking;Fegyvertörés
Weapon knowledge;Fegyver ismeret
Weapons and armors;Fegyverek és vértek
Weapons;Fegyverek
Weapon throwing;Fegyverdobás
Weapon usage;Fegyverhasználat
Weather forecast;Időjóslás
Wheelbarrow;Taliga
Whip;Ostor
Whistle;Síp
White orc;Fehér ork
Wier;Wier
Wild meat, one dose;Vadhús, egy adag
WillPower;Akaraterő
Wine, cup;Bor, kupa
Wiseman;Bölcs
Witch;Boszorkány
Witch magic;Boszorkány mágia
Wizard magic;Varázsló mágia
Wizard;Varázsló
Wound healing;Sebgyógyítás
Wrestling;Birkózás
Yatagan;Jatagán
Yes;Igen
Yoke, horse harness;Iga, járom
You need to start the application with administrator right for the first time if you want to use the map functionality or create HKEY_LOCAL_MACHINE\[WOW6432Node]\SOFTWARE\Microsoft\Internet Explorer\MAIN\FeatureControl\FEATURE_BROWSER_EMULATION\Storyteller.exe REG_DWORD 0x8000 registry entries.;Először adminisztrátorként kell indítania a programot, ha a térkép funkciót használni szeretné vagy hozza létre a HKEY_LOCAL_MACHINE\[WOW6432Node]\SOFTWARE\Microsoft\Internet Explorer\MAIN\FeatureControl\FEATURE_BROWSER_EMULATION\Storyteller.exe REG_DWORD 0x8000 regisztrációs bejegyzéseket.
Zoom;Nagyítás
